username,total_score
mruna7,0
karan2762002,0
sunchit17,0
PragatiVerma18,0
adityabisoi,0
naman04-dec,0
fabcodingzest,0
raza4399,0
gauravburjwal,0
abhinashgiri,0
subhashreetrip,0
agarwalshivani23,0
abhu-A-J,0
sim12cool,0
MSoumen,0
snehaprag,0
darkfist,0
kudos-dot-com,0
pushkar-khetrapal,0
hound77,0
imabp,0
anisha1907,0
SinghHimadri,0
tejashubham,0
salonibanerjee,0
SwaraliDinkar,0
jhasaurabh312,0
Sshruti10,0
tahanima,0
rhythm10,0
chaitanya003,0
karan1dhir,0
chivalrous_hv,0
Estaer,0
Mirnal1409,0
arteevraina,0
mehmehul,0
Meenakshi2000,0
Tusharium,0
Pranitaambade,0
sadhvi1234,0
bishalpandit,0
PSpooja,0
Knlsharma,0
surajshende247,0
eshanheretic,0
dishak331,0
robot-with-feelings,0
govindgoel,0
riyasingh1004,0
ShauryaBhandari,0
irshadjsr21,0
kcharles52,0
ruchika06,0
HaripriyaR7921,0
AnjaliBN,0
dragonman164,0
yuvrajmanral,0
geekysan,0
RadhikaAgarwal99,0
keshavkumar700,0
anjiattri,0
aprajitraina,0
Anirbansaha007,0
nancysingh24,0
lavlife06,0
Rita-Okonkwo,0
anurajbhandari5,0
prince776,0
LovepreetSingh12,0
HritikBhardwaj,0
MuskanKhatwani,0
dkiran100,0
Pihu1998,0
shravyakodli,0
k12shreyam,0
Shiv1202,0
MrUltimate-Karn,0
17tanya,0
kajalgupta,0
shwetagurnani,0
lakshyajit165,0
shubhamgoel90,0
kumarrajiv08,0
anubhavshakya,0
anindita81,0
nikita0408,0
ishamaxpi,0
YaminiShrestha31,0
shivanigangadharan,0
SachindraFernando,0
machine-sg,0
GunjanMA,0
RohanRV,0
simrann20,0
utkarshcool,0
RiaJha02,0
Apurbo-Talukdar,0
shridhar-hegde,0
rohitg00,0
ShambhaviTiwari,0
PROxZIMA,0
Nandini9634,0
barnalibasak,0
rithika-hebbar,0
geetika04,0
rinsacm,0
SnegaRamesh,0
DarthBenro008,0
Satzyakiz,0
utkryuk,0
topcoder69,0
Shivanikanswal,0
suraj7076,0
rrkas,0
vishakha-a,0
manpreet67,0
asin1203,0
Priyankabajpai,0
srj-dubey,0
ashnakumar,0
mcorn663,0
manaswitatyagi,0
Ratna04priya,0
shreya-ss,0
Roopam-mishra,0
sheetalrawat123,0
Aren-Stark,0
saurav3199,0
anushri9988,0
Ayushi0508,0
surbhivash,0
rakhiPurwar,0
https:,0
nishant679,0
flookuptech,0
sushant-kd2019,0
hemantsharma619,0
heytanay,0
Nik-09,0
punisherz,0
p-soham11,0
munazzil4,0
kshntn,0
dheerenhdra,0
sngmanish,0
tripathyprateek,0
VarthanV,0
Devansh80,0
diksham1,0
itida99,0
vipinmankar,0
SwapnaKategaru,0
missvicki,0
ViAsmit,0
ShivaniGarg123,0
sagnik047,0
Raghav1503,0
vedpshukla,0
bishopmate,0
Nikitapande,0
aakankshamudgal,0
Amitesh1997,0
amandewatnitrr,0
coolsonu39,0
codetronaut,0
pankul98,0
Sirius-Stag,0
shyamli01tiwari,0
Mansi650,0
Sameerkash,0
KA0335,0
shwetachan,0
fireheart007,0
saumya0320,0
Jyotika25,0
lalitgiri77480,0
manjeet-mehta,0
fzd370,0
arpitgoel2222,0
LifeofAGeek,0
TKarishma,0
poojagl85,0
Bhawna11agg,0
sanjanaagrawal,0
devc97,0
Meghana359,0
jyotikrjc,0
GarvTambi,0
anshikagoyal871,0
sg28march,0
deepak11cs,0
amberprice-stack,0
swetankraj,0
tanvibattu,0
Ashuto7h,0
Rasu11,0
Rsr0,0
devanshi7799,0
harshithaprabhu,0
123prabhat,0
prabhpreet332,0
debojyoti777,0
GSri30,0
SomyaGupta97,0
BellatrixLestrangee,0
BALaka-18,0
AJAYSHARMA2012,0
diksha-dutt08,0
bhanvimenghani,0
starwiz-7,0
Devoshree,0
sukritishah15,0
aamiyagarg,0
rupayan123,0
thesrijande,0
smaranjitghose,0
Vivek798,0
rudrakshi99,0
Deepika-23,0
hiverkiya,0
atul1837,0
vngarg,0
07ATUL,0
Potential17,0
utkarsh1148,0
WebBarnwal,0
Shreya-Gupta02,0
ankit986,0
Atri1999,0
gulshan17,0
MonikaJain8,0
Tanzeela-Fathima,0
SarvottamNK,0
Shadman-Ahmed-Chowdhury,0
sachita3,0
CONQUEROR9,0
nis130,0
sgpritam,0
jatin-js,0
VaishnaviShet,0
M-I-Dx,0
sanchjain,0
JyotiJauhari,0
jui2010,0
anshul12360,0
abhishekk311098,0
Zenix27,0
suryadevsingh,0
EnthusiasticPlum123,0
krishnendu1154,0
Sankalan47,0
Rishabh510,0
SandeepKrSuman,0
ananyakamboj,0
shubhamchopade,0
Ananth9911,0
RaghavAwasthi,0
Joshitha18,0
UnnatiMishra,0
guptaesha19,0
AJAYK-01,0
samaresh231,0
Arejay23,0
sukriti-singh,0
Kam149,0
Udit3008,0
Swapna02,0
paulShauvik99,0
sakshi0101,0
mariapault,0
smitagupta517,0
Pooja220,0
akashksinghal,0
Udayuk,0
garimasingh128,0
pragyabansal02,0
22sujata8d,0
tanishq9,0
17-versha,0
BhuwanChandra,0
Hstellar,0
mrbuddhu,0
nidhi012,0
imdropcodes,0
Ankita1811,0
yashsvi-30,0
NikhileshKatakam,0
Tanmayi03,0
sneha122,0
adad20,0
Sumeetrana,0
DeepShikha11,0
krsachinroy,0
srivallisreya,0
carrisunrio,10
DhairyaKhanna,0
aysp-99,0
urbashi123,0
VibhorChinda,0
Adyasha8105,0
bhavyasinghal06,0
ISHIKA10,0
sandhyabhan,0
